prolific_id,answers_json,screened_out,created_at
sdfsfsdfsdfsfsfs2212312312,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 13:49:56
sdsfwdfdsf233432,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 05:00:43
sfgosifsoij2,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 05:15:18
sfjsdflkjsdkfsjdlfkjl2349203492-,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:32:12
sfsdfdsf32323234234,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:59:34
sfsdfdsfksdfjdsfklj42323423,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:40:34
sfsfdsfdsf2234324,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 13:56:03
sfuhseiufweuiherwstiuhg12,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 23:55:14
sgjierotewortiuerotjrgk5r34232,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 01:17:28
shfsdlfnsdkjhsdkjfhskfhsdkfsdhjkf23,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 21:34:52
skiiiiii123,"{""q1"": ""5+"", ""q2"": ""0"", ""q3"": ""5+"", ""q4"": ""1\u20134""}",0,2026-03-19 02:15:45
soifersoifghrdsio hsdiofg,"{""q1"": ""5+"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 20:45:54
testtest2,"{""q1"": ""1\u20134"", ""q2"": ""1\u20134"", ""q3"": ""1\u20134"", ""q4"": ""1\u20134""}",0,2026-03-19 02:38:24
tratar,"{""q1"": ""1\u20134"", ""q2"": ""5+"", ""q3"": ""5+"", ""q4"": ""5+""}",0,2026-03-19 01:35:50
